Date,YuukiIndex
2021-09-22,10836.8
2021-09-24,10983.27
2021-09-27,10818.22
2021-09-28,10669.44
2021-09-29,10353.65
2021-09-30,10650.02
2021-10-01,10264.5
2021-10-04,10115.38
2021-10-05,9830.83
2021-10-06,9816.43
2021-10-07,9837.9
2021-10-08,10067.36
2021-10-11,10281.35
2021-10-12,10114.22
2021-10-13,10109.69
2021-10-14,10241.22
2021-10-15,10501.77
2021-10-18,10469.94
2021-10-19,10669.02
2021-10-20,10641.85
2021-10-21,10449.56
2021-10-22,10454.46
2021-10-25,10333.4
2021-10-26,10457.3
2021-10-27,10400.34
2021-10-28,10260.48
2021-10-29,10573.77
2021-11-01,10867.05
2021-11-02,10794.8
2021-11-04,11195.47
2021-11-05,11214.55
2021-11-08,11031.1
2021-11-09,10895.32
2021-11-10,10782.35
2021-11-11,10799.67
2021-11-12,10853.74
2021-11-15,10902.92
2021-11-16,10998.08
2021-11-17,10958.38
2021-11-18,11005.1
2021-11-19,11066.9
2021-11-22,11060.4
2021-11-24,10777.47
2021-11-25,10791.01
2021-11-26,10582.4
2021-11-29,10510.89
2021-11-30,10357.06
2021-12-01,10445.55
2021-12-02,10497.79
2021-12-03,10561.0
2021-12-06,10571.48
2021-12-07,10722.51
2021-12-08,10892.55
2021-12-09,10830.46
2021-12-10,10826.17
2021-12-13,10945.6
2021-12-14,10852.47
2021-12-15,10788.21
2021-12-16,11044.79
2021-12-17,10818.4
2021-12-20,10602.91
2021-12-21,10814.35
2021-12-22,10836.8
2021-12-23,10951.35
2021-12-24,10920.25
2021-12-27,10793.37
2021-12-28,10898.02
2021-12-29,10728.66
2021-12-30,10722.95
2022-01-04,10877.48
2022-01-05,10884.11
2022-01-06,10421.4
2022-01-07,10222.11
2022-01-11,9747.02
2022-01-12,10083.61
2022-01-13,9884.46
2022-01-14,9770.98
2022-01-17,9828.41
2022-01-18,9952.18
2022-01-19,9715.52
2022-01-20,9792.86
2022-01-21,9682.76
2022-01-24,9641.01
2022-01-25,9463.61
2022-01-26,9359.32
2022-01-27,9070.08
2022-01-28,9263.28
2022-01-31,9321.22
2022-02-01,9388.54
2022-02-02,9678.65
2022-02-03,9287.58
2022-02-04,9362.41
2022-02-07,9208.41
2022-02-08,9187.31
2022-02-09,9302.47
2022-02-10,9366.95
2022-02-14,8951.75
2022-02-15,9024.38
2022-02-16,9103.82
2022-02-17,8860.61
2022-02-18,8808.42
2022-02-21,8668.05
2022-02-22,8578.46
2022-02-24,8481.9
2022-02-25,8711.31
2022-02-28,8691.54
2022-03-01,8800.3
2022-03-02,8645.24
2022-03-03,8755.55
2022-03-04,8627.73
2022-03-07,8334.01
2022-03-08,8374.24
2022-03-09,8377.31
2022-03-10,8639.95
2022-03-11,8308.02
2022-03-14,8254.56
2022-03-15,8171.46
2022-03-16,8376.59
2022-03-17,8776.21
2022-03-18,8847.06
2022-03-22,8901.1
2022-03-23,9263.17
2022-03-24,9263.61
2022-03-25,9148.02
2022-03-28,9060.77
2022-03-29,9174.39
2022-03-30,9148.13
2022-03-31,9124.13
2022-04-01,9180.7
2022-04-04,9177.63
2022-04-05,9214.97
2022-04-06,9107.57
2022-04-07,8869.89
2022-04-08,8958.14
2022-04-11,8741.88
2022-04-12,8478.36
2022-04-13,8720.94
2022-04-14,8789.28
2022-04-15,8813.69
2022-04-18,8693.83
2022-04-19,8710.43
2022-04-20,8663.67
2022-04-21,8830.06
2022-04-22,8674.38
2022-04-25,8326.75
2022-04-26,8312.6
2022-04-27,8256.5
2022-04-28,8438.49
2022-05-02,8355.56
2022-05-06,8378.44
2022-05-09,8052.09
2022-05-10,8117.65
2022-05-11,8209.58
2022-05-12,8036.08
2022-05-13,8264.72
2022-05-16,8326.91
2022-05-17,8337.2
2022-05-18,8383.14
2022-05-19,8162.47
2022-05-20,8091.57
2022-05-23,8164.53
2022-05-24,8050.22
2022-05-25,8077.86
2022-05-26,8074.87
2022-05-27,8049.66
2022-05-30,8431.48
2022-05-31,8435.36
2022-06-01,8474.56
2022-06-02,8444.39
2022-06-03,8567.0
2022-06-06,8604.4
2022-06-07,8634.13
2022-06-08,8691.8
2022-06-09,8753.14
2022-06-10,8587.62
2022-06-13,8268.94
2022-06-14,8215.27
2022-06-15,8023.29
2022-06-16,8087.58
2022-06-17,8025.3
2022-06-20,8050.17
2022-06-21,8209.06
2022-06-22,8201.41
2022-06-23,8159.3
2022-06-24,8246.71
2022-06-27,8419.73
2022-06-28,8458.02
2022-06-29,8386.11
2022-06-30,8313.13
2022-07-01,8148.8
2022-07-04,8249.92
2022-07-05,8368.63
2022-07-06,8373.03
2022-07-07,8548.61
2022-07-08,8558.74
2022-07-11,8647.43
2022-07-12,8486.09
2022-07-13,8557.63
2022-07-14,8709.18
2022-07-15,8936.79
2022-07-19,9039.26
2022-07-20,9358.88
2022-07-21,9409.56
2022-07-22,9562.51
2022-07-25,9394.36
2022-07-26,9335.73
2022-07-27,9260.01
2022-07-28,9249.4
2022-07-29,9189.33
2022-08-01,9390.26
2022-08-02,9271.88
2022-08-03,9392.78
2022-08-04,9469.95
2022-08-05,9606.11
2022-08-08,9570.89
2022-08-09,9605.75
2022-08-10,9441.64
2022-08-12,9742.98
2022-08-15,9857.88
2022-08-16,9851.9
2022-08-17,9977.21
2022-08-18,9865.53
2022-08-19,9865.58
2022-08-22,9767.93
2022-08-23,9574.94
2022-08-24,9471.27
2022-08-25,9508.9
2022-08-26,9560.37
2022-08-29,9224.55
2022-08-30,9361.27
2022-08-31,9320.73
2022-09-01,9153.74
2022-09-02,9129.52
2022-09-05,9126.05
2022-09-06,9130.3
2022-09-07,9122.93
2022-09-08,9433.44
2022-09-09,9446.17
2022-09-12,9601.42
2022-09-13,9630.74
2022-09-14,9246.4
2022-09-15,9269.0
2022-09-16,9074.85
2022-09-20,9176.28
2022-09-21,9015.61
2022-09-22,8951.96
2022-09-26,8832.8
2022-09-27,8888.03
2022-09-28,8757.1
2022-09-29,8825.67
2022-09-30,8582.69
2022-10-03,8660.96
2022-10-04,8940.98
2022-10-05,9089.9
2022-10-06,9162.45
2022-10-07,9088.32
2022-10-11,8718.96
2022-10-12,8738.48
2022-10-13,8655.47
2022-10-14,8966.24
2022-10-17,8774.04
2022-10-18,8924.13
2022-10-19,8910.85
2022-10-20,8791.57
2022-10-21,8722.12
2022-10-24,8791.05
2022-10-25,8933.21
2022-10-26,9022.91
2022-10-27,9112.56
2022-10-28,9033.25
2022-10-31,9448.55
2022-11-01,9602.42
2022-11-02,9603.19
2022-11-04,9390.61
2022-11-07,9569.34
2022-11-08,9664.03
2022-11-09,9473.04
2022-11-10,9405.24
2022-11-11,9894.2
2022-11-14,9900.33
2022-11-15,9853.15
2022-11-16,9866.27
2022-11-17,9766.47
2022-11-18,9718.03
2022-11-21,9704.89
2022-11-22,9741.86
2022-11-24,9890.64
2022-11-25,9769.72
2022-11-28,9753.63
2022-11-29,9667.36
2022-11-30,9529.07
2022-12-01,9713.08
2022-12-02,9522.33
2022-12-05,9549.01
2022-12-06,9552.97
2022-12-07,9457.41
2022-12-08,9393.63
2022-12-09,9521.66
2022-12-12,9460.05
2022-12-13,9574.05
2022-12-14,9660.77
2022-12-15,9541.93
2022-12-16,9348.93
2022-12-19,9253.03
2022-12-20,8990.21
2022-12-21,8903.55
2022-12-22,8899.7
2022-12-23,8813.0
2022-12-26,8877.91
2022-12-27,8910.53
2022-12-28,8875.45
2022-12-29,8825.06
2022-12-30,8827.37
2023-01-04,8690.13
2023-01-05,8730.35
2023-01-06,8807.21
2023-01-10,8960.19
2023-01-11,9253.49
2023-01-12,9200.24
2023-01-13,9016.23
2023-01-16,8959.72
2023-01-17,9102.62
2023-01-18,9332.29
2023-01-19,9244.09
2023-01-20,9244.28
2023-01-23,9463.05
2023-01-24,9554.13
2023-01-25,9647.83
2023-01-26,9538.75
2023-01-27,9614.25
2023-01-30,9661.48
2023-01-31,9589.12
2023-02-01,9594.42
2023-02-02,9749.7
2023-02-03,9847.5
2023-02-06,9841.07
2023-02-07,9878.59
2023-02-08,9775.15
2023-02-09,9784.61
2023-02-10,9782.94
2023-02-13,9645.58
2023-02-14,9772.12
2023-02-15,9700.17
2023-02-16,9844.68
2023-02-17,9678.72
2023-02-20,9641.25
2023-02-21,9588.87
2023-02-22,9451.16
2023-02-24,9534.95
2023-02-27,9568.88
2023-02-28,9614.67
2023-03-01,9608.97
2023-03-02,9617.43
2023-03-03,9797.04
2023-03-06,9955.09
2023-03-07,10009.2
2023-03-08,10061.04
2023-03-09,10083.91
2023-03-10,9886.59
2023-03-13,9877.7
2023-03-14,9691.98
2023-03-15,9602.11
2023-03-16,9621.88
2023-03-17,9791.47
2023-03-20,9689.08
2023-03-22,9992.27
2023-03-23,9891.13
2023-03-24,9909.11
2023-03-27,9918.33
2023-03-28,9964.23
2023-03-29,10113.87
2023-03-30,10169.6
2023-03-31,10278.75
2023-04-03,10268.71
2023-04-04,10310.26
2023-04-05,10084.35
2023-04-06,9774.96
2023-04-07,9803.37
2023-04-10,9853.59
2023-04-11,9902.0
2023-04-12,9955.78
2023-04-13,10131.63
2023-04-14,10370.74
2023-04-17,10327.68
2023-04-18,10398.3
2023-04-19,10314.84
2023-04-20,10429.91
2023-04-21,10382.75
2023-04-24,10388.83
2023-04-25,10444.78
2023-04-26,10317.29
2023-04-27,10383.6
2023-04-28,10408.13
2023-05-01,10606.76
2023-05-02,10646.27
2023-05-08,10613.22
2023-05-09,10695.53
2023-05-10,10655.3
2023-05-11,10631.48
2023-05-12,10835.33
2023-05-15,10972.88
2023-05-16,11079.89
2023-05-17,11177.6
2023-05-18,11379.4
2023-05-19,11482.68
2023-05-22,11574.96
2023-05-23,11497.64
2023-05-24,11326.14
2023-05-25,11338.21
2023-05-26,11309.36
2023-05-29,11270.15
2023-05-30,11329.5
2023-05-31,11152.81
2023-06-01,11286.53
2023-06-02,11521.69
2023-06-05,11816.22
2023-06-06,11846.9
