Date,6701.T,6758.T,9983.T,7974.T,6702.T,6861.T,6367.T,9843.T,8113.T,6594.T
2024-11-13,2588.752197265625,2874.498291015625,48379.125,7977.98291015625,2719.220458984375,64180.41015625,18268.23046875,3443.79638671875,1302.2222900390625,2828.1474609375
2024-11-14,2557.99267578125,2862.067626953125,49061.77734375,8010.62255859375,2828.7626953125,64081.1796875,18248.587890625,3465.561279296875,1300.250732421875,2807.304931640625
2024-11-15,2526.2412109375,2873.50390625,49704.85546875,8168.876953125,2799.518310546875,65172.68359375,18371.357421875,3525.909423828125,1285.1353759765625,2796.883544921875
2024-11-18,2467.698974609375,2901.34912109375,48933.1640625,8110.5205078125,2761.847900390625,64577.3203125,18233.853515625,3497.21923828125,1300.250732421875,2719.96435546875
2024-11-19,2451.8232421875,2919.74658203125,49091.45703125,8086.7822265625,2754.90869140625,65123.0703125,17949.02734375,3504.14453125,1267.3912353515625,2846.5087890625
2024-11-20,2452.8154296875,3001.29248046875,49131.02734375,8136.23681640625,2768.787109375,64378.86328125,17978.4921875,3442.806884765625,1242.7467041015625,2894.6455078125
2024-11-21,2434.955322265625,2935.16064453125,47953.70703125,8113.48779296875,2717.23779296875,65172.68359375,18057.064453125,3425.98876953125,1266.734130859375,2886.208984375
2024-11-22,2433.962890625,2931.679931640625,48497.84765625,8076.8916015625,2733.099365234375,65152.83984375,17968.669921875,3566.470947265625,1258.8477783203125,2836.583740234375
2024-11-25,2470.67578125,2961.016845703125,50189.6328125,8109.53173828125,2769.778564453125,66155.0390625,18405.734375,3624.840576171875,1278.23486328125,2845.02001953125
2024-11-26,2473.652587890625,2966.486328125,50901.96484375,8218.3310546875,2720.70751953125,65073.4609375,18174.92578125,3670.348876953125,1336.067626953125,2797.8759765625
2024-11-27,2467.698974609375,3001.29248046875,50644.734375,8433.9521484375,2794.06591796875,63505.6640625,17762.416015625,3781.15185546875,1297.9505615234375,2786.462158203125
2024-11-28,2523.2646484375,3041.071044921875,50555.69140625,8689.13671875,2806.953369140625,64815.46484375,17831.16796875,3719.814453125,1293.678955078125,2796.883544921875
2024-11-29,2529.2177734375,2990.353515625,50565.5859375,8713.8642578125,2841.154296875,64220.1015625,17772.23828125,3803.906005859375,1278.5635986328125,2734.35546875
2024-12-02,2591.72900390625,2997.314697265625,49892.83203125,8758.373046875,2838.18017578125,64755.9296875,17845.900390625,3796.98095703125,1286.7783203125,2727.904296875
2024-12-03,2629.43408203125,3053.004638671875,51139.41015625,8842.4453125,2835.206298828125,66035.96875,18071.796875,3828.638916015625,1283.163818359375,2846.5087890625
2024-12-04,2563.9462890625,3152.450927734375,52366.19921875,9081.8046875,2782.665771484375,65381.0625,17934.294921875,3967.142578125,1276.2633056640625,2830.628662109375
2024-12-05,2569.899658203125,3149.467529296875,52544.28125,9193.5712890625,2785.6396484375,65222.30078125,17816.435546875,3919.65576171875,1269.36279296875,2781.499755859375
2024-12-06,2507.388671875,3126.594970703125,52118.859375,8959.158203125,2754.90869140625,64368.9453125,17885.185546875,3925.591552734375,1275.606201171875,2786.462158203125
2024-12-09,2557.99267578125,3188.251953125,53098.31640625,9115.43359375,2770.769775390625,64289.55859375,17826.2578125,3994.843505859375,1280.53515625,2802.838623046875
2024-12-10,2533.186767578125,3319.52099609375,53226.9296875,8938.38671875,2775.726318359375,65093.3046875,18130.7265625,3927.570068359375,1265.0911865234375,2815.244873046875
2024-12-11,2581.806396484375,3343.38818359375,53424.80078125,9003.6669921875,2782.665771484375,64696.390625,17968.669921875,3952.302978515625,1286.4498291015625,2805.816162109375
2024-12-12,2614.550537109375,3442.834716796875,53889.79296875,9039.2744140625,2840.658447265625,65252.0703125,17944.115234375,3952.302978515625,1285.4639892578125,2836.583740234375
2024-12-13,2591.72900390625,3339.41015625,52672.8984375,9024.4375,2818.353515625,63962.109375,17639.646484375,3915.6982421875,1285.7926025390625,2795.394775390625
2024-12-16,2573.86865234375,3305.5986328125,52217.796875,9083.783203125,2778.204833984375,63714.0390625,17747.685546875,3826.660400390625,1277.5777587890625,2777.033447265625
2024-12-17,2602.6435546875,3361.28857421875,52860.875,9386.443359375,2746.977783203125,63912.49609375,17831.16796875,3900.858642578125,1293.678955078125,2794.40234375
2024-12-18,2635.3876953125,3272.78125,51930.88671875,9163.8994140625,2739.047119140625,63922.41796875,17605.26953125,3905.805419921875,1289.73583984375,2798.868408203125
2024-12-19,2668.13134765625,3241.952880859375,52158.43359375,9307.31640625,2755.899658203125,63962.109375,17428.482421875,3695.081787109375,1301.236572265625,2742.295654296875
2024-12-20,2673.0927734375,3265.820068359375,52207.90234375,9031.361328125,2785.14404296875,63684.2734375,17344.998046875,3628.7978515625,1302.87939453125,2729.39306640625
2024-12-23,2720.72021484375,3282.725830078125,52613.53515625,9070.9248046875,2784.6484375,63485.81640625,17286.06640625,3636.71240234375,1293.0216064453125,2721.94921875
2024-12-24,2704.84423828125,3279.742431640625,52306.8359375,9127.302734375,2715.25537109375,63158.3671875,17315.533203125,3661.445068359375,1283.163818359375,2687.707763671875
2024-12-25,2724.68896484375,3286.703857421875,52445.34765625,9099.6083984375,2684.524169921875,62910.296875,17408.8359375,3648.583984375,1274.948974609375,2679.767822265625
2024-12-26,2738.580322265625,3331.45458984375,52682.79296875,9158.953125,2724.17724609375,63327.0546875,17988.314453125,3619.89404296875,1274.620361328125,2709.54296875
2024-12-27,2770.33203125,3398.083740234375,54107.453125,9247.9716796875,2790.596435546875,64061.3359375,18317.337890625,3739.600830078125,1295.274658203125,2821.696044921875
2024-12-30,2722.70458984375,3350.349365234375,53246.71875,9162.91015625,2775.230712890625,64130.796875,18327.16015625,3687.167236328125,1291.30908203125,2833.606201171875
2025-01-06,2674.0849609375,3282.725830078125,51000.8984375,8971.02734375,2757.386962890625,62701.91796875,18469.572265625,3656.49853515625,1257.6011962890625,2784.47705078125
2025-01-07,2699.883056640625,3322.50439453125,51505.46484375,9058.0673828125,2863.955078125,64755.9296875,18783.8671875,3682.220703125,1257.10546875,2864.8701171875
